,angle,pm_value
0,-60.0,3.069811464566929e-08
1,-59.5,2.8666823937007878e-08
2,-59.0,1.9065276535433072e-08
3,-58.5,1.1704455212598425e-08
4,-58.0,2.5049293385826772e-08
5,-57.5,3.054222440944882e-08
6,-57.0,1.107093418897638e-08
7,-56.5,2.5476643937007876e-08
8,-56.0,2.36448262992126e-08
9,-55.5,2.981235779527559e-08
10,-55.0,3.063109480314961e-08
11,-54.5,3.159559228346457e-08
12,-54.0,3.1826035748031496e-08
13,-53.5,3.3403076850393705e-08
14,-53.0,1.7926467401574804e-08
15,-52.5,2.0860222992125986e-08
16,-52.0,1.8815559370078743e-08
17,-51.5,2.6800668031496066e-08
18,-51.0,2.7651219055118112e-08
19,-50.5,5.0835648031496065e-09
20,-50.0,2.929198661417323e-08
21,-49.5,2.498561070866142e-08
22,-49.0,1.4818381653543308e-08
23,-48.5,2.0694308031496065e-08
24,-48.0,3.985889921259843e-08
25,-47.5,1.0041897322834645e-08
26,-47.0,1.5570067102362206e-08
27,-46.5,1.7272000787401574e-08
28,-46.0,3.103247543307087e-08
29,-45.5,1.6410539842519687e-08
30,-45.0,2.69322294488189e-08
31,-44.5,2.8708734803149607e-08
32,-44.0,3.1668480157480316e-08
33,-43.5,4.0081817952755906e-08
34,-43.0,4.3814186771653544e-08
35,-42.5,2.948723070866142e-08
36,-42.0,4.058963133858268e-08
37,-41.5,3.129812456692914e-08
38,-41.0,3.300677748031497e-08
39,-40.5,4.3907222519685036e-08
40,-40.0,3.5843294645669293e-08
41,-39.5,3.893122488188977e-08
42,-39.0,4.0446320787401576e-08
43,-38.5,5.11037231496063e-08
44,-38.0,5.2198228188976374e-08
45,-37.5,5.5903733070866144e-08
46,-37.0,5.076772771653543e-08
47,-36.5,5.5424431496062995e-08
48,-36.0,5.210267480314961e-08
49,-35.5,6.167154283464568e-08
50,-35.0,8.735317811023621e-08
51,-34.5,9.191009291338583e-08
52,-34.0,9.889383275590551e-08
53,-33.5,9.202398251968504e-08
54,-33.0,7.216976803149607e-08
55,-32.5,6.896868472440945e-08
56,-32.0,8.269560881889763e-08
57,-31.5,7.670152346456693e-08
58,-31.0,7.648872787401576e-08
59,-30.5,7.047709307086615e-08
60,-30.0,6.95896053543307e-08
61,-29.5,6.15098305511811e-08
62,-29.0,4.6927260787401574e-08
63,-28.5,3.498440818897638e-08
64,-28.0,3.631679606299213e-08
65,-27.5,3.212181622047244e-08
66,-27.0,2.7290899212598424e-08
67,-26.5,1.2604447228346457e-08
68,-26.0,1.321700513385827e-08
69,-25.5,2.110322409448819e-08
70,-25.0,9.427656598425197e-09
71,-24.5,1.4813349590551181e-08
72,-24.0,4.967092456692914e-09
73,-23.5,6.23327231496063e-09
74,-23.0,5.838591858267717e-09
75,-22.5,-1.179506377952756e-09
76,-22.0,8.560339118110237e-09
77,-21.5,2.1805464251968504e-08
78,-21.0,-3.3901103307086614e-10
79,-20.5,8.414540393700788e-09
80,-20.0,1.0799435496062994e-08
81,-19.5,-1.3730651842519686e-09
82,-19.0,2.132863228346457e-08
83,-18.5,1.2061437811023623e-08
84,-18.0,1.2337936881889765e-08
85,-17.5,-8.34759262992126e-09
86,-17.0,4.325197511811024e-09
87,-16.5,1.262370020472441e-08
88,-16.0,1.1488242551181103e-08
89,-15.5,9.193015984251969e-09
90,-15.0,-2.2837755748031496e-10
91,-14.5,1.4762236708661418e-08
92,-14.0,1.1510024125984252e-08
93,-13.5,-5.3635316850393704e-09
94,-13.0,2.8620863937007877e-09
95,-12.5,8.383535417322835e-10
96,-12.0,4.196147480314961e-09
97,-11.5,1.6183447874015748e-08
98,-11.0,8.433821228346458e-09
99,-10.5,9.618715496062991e-09
100,-10.0,9.275151732283464e-09
101,-9.5,9.977377622047245e-09
102,-9.0,7.542209968503937e-09
103,-8.5,2.643528220472441e-08
104,-8.0,-5.141372078740158e-10
105,-7.5,2.9343087401574804e-08
106,-7.0,1.9701305354330707e-08
107,-6.5,2.3703482362204724e-08
108,-6.0,5.129652724409449e-09
109,-5.5,5.473226866141733e-09
110,-5.0,5.631613401574803e-09
111,-4.75,1.1521774346456693e-08
112,-4.5,2.0475603622047245e-09
113,-4.25,-1.0956990866141733e-09
114,-4.0,4.895032866141732e-09
115,-3.75,-2.90409442519685e-10
116,-3.5,2.6995064724409448e-09
117,-3.25,1.5615294488188977e-08
118,-3.0,2.0332298897637795e-08
119,-2.75,-5.526951921259843e-09
120,-2.5,4.295026440944882e-09
121,-2.25,3.891123811023622e-09
122,-2.0,1.8456880787401576e-08
123,-1.75,3.3983787401574805e-09
124,-1.5,7.005057070866143e-09
125,-1.25,2.288814157480315e-08
126,-1.0,4.14753620472441e-08
127,-0.75,5.194594976377953e-08
128,-0.5,9.04696177952756e-08
129,-0.25,1.2637036645669292e-07
130,0.0,1.212083102362205e-07
131,0.25,8.973039291338583e-08
132,0.5,6.229330267716536e-08
133,0.75,2.428840598425197e-08
134,1.0,1.9403809291338582e-08
135,1.25,7.401409433070866e-09
136,1.5,1.321279809448819e-08
137,1.75,5.30312177952756e-09
138,2.0,-2.309098062992126e-09
139,2.25,2.4610187086614175e-08
140,2.5,3.1277088818897637e-09
141,2.75,3.4009046141732285e-09
142,3.0,9.323750220472442e-09
143,3.25,3.2282826929133857e-09
144,3.5,1.6604939212598427e-08
145,3.75,-5.680292188976378e-09
146,4.0,4.245579448818898e-09
147,4.25,8.261177181102363e-09
148,4.5,-5.342462377952756e-10
149,4.75,-6.926373165354331e-10
150,5.0,-4.838950755905512e-09
