,angle,pm_value
0,-60.0,2.6338526771653544e-06
1,-59.5,2.559141905511811e-06
2,-59.0,2.198739244094488e-06
3,-58.5,1.7506729606299214e-06
4,-58.0,1.4193408645669292e-06
5,-57.5,1.2250514866141733e-06
6,-57.0,1.1100493055118112e-06
7,-56.5,1.071945262992126e-06
8,-56.0,1.1095365401574803e-06
9,-55.5,1.2346547228346456e-06
10,-55.0,1.4211042141732283e-06
11,-54.5,1.7345510551181104e-06
12,-54.0,2.125802031496063e-06
13,-53.5,2.4663601417322836e-06
14,-53.0,2.6865489291338583e-06
15,-52.5,2.7183714645669292e-06
16,-52.0,2.5954344251968505e-06
17,-51.5,2.438667433070866e-06
18,-51.0,2.2914246456692913e-06
19,-50.5,2.2151958582677166e-06
20,-50.0,2.1743248346456693e-06
21,-49.5,2.1535888661417324e-06
22,-49.0,2.1401719212598426e-06
23,-48.5,2.1656020787401575e-06
24,-48.0,2.1898679527559055e-06
25,-47.5,2.2991734803149606e-06
26,-47.0,2.486774535433071e-06
27,-46.5,2.687221716535433e-06
28,-46.0,2.9420458425196852e-06
29,-45.5,3.1426261732283467e-06
30,-45.0,3.2964002204724414e-06
31,-44.5,3.401434377952756e-06
32,-44.0,3.5520308346456694e-06
33,-43.5,3.7429556220472443e-06
34,-43.0,4.032112393700787e-06
35,-42.5,4.31454557480315e-06
36,-42.0,4.553140503937008e-06
37,-41.5,4.730433795275591e-06
38,-41.0,4.919951196850394e-06
39,-40.5,5.1603927086614175e-06
40,-40.0,5.54421894488189e-06
41,-39.5,6.068702992125984e-06
42,-39.0,6.6931491968503945e-06
43,-38.5,7.2237909133858275e-06
44,-38.0,7.4902489133858275e-06
45,-37.5,7.291160425196851e-06
46,-37.0,6.83625977952756e-06
47,-36.5,6.429503716535434e-06
48,-36.0,6.442542456692913e-06
49,-35.5,7.2303620314960634e-06
50,-35.0,9.020453606299213e-06
51,-34.5,1.174723072440945e-05
52,-34.0,1.404929631496063e-05
53,-33.5,1.4123516141732283e-05
54,-33.0,1.237990692913386e-05
55,-32.5,1.0662208472440945e-05
56,-32.0,9.692270645669292e-06
57,-31.5,9.42663620472441e-06
58,-31.0,9.718734157480317e-06
59,-30.5,1.0211715433070867e-05
60,-30.0,1.0344018488188976e-05
61,-29.5,9.99943883464567e-06
62,-29.0,9.167649527559056e-06
63,-28.5,7.909772362204726e-06
64,-28.0,6.3984983149606305e-06
65,-27.5,5.149871637795276e-06
66,-27.0,4.061975039370079e-06
67,-26.5,2.903452173228347e-06
68,-26.0,1.6350482047244096e-06
69,-25.5,7.733374393700788e-07
70,-25.0,3.7937845354330715e-07
71,-24.5,2.188380535433071e-07
72,-24.0,1.4108361023622048e-07
73,-23.5,8.872412866141733e-08
74,-23.0,8.599650299212599e-08
75,-22.5,9.838007055118111e-08
76,-22.0,7.285107338582677e-08
77,-21.5,7.732506677165354e-08
78,-21.0,7.987665653543307e-08
79,-20.5,7.747337322834646e-08
80,-20.0,6.750557244094488e-08
81,-19.5,7.266755007874015e-08
82,-19.0,7.270521023622048e-08
83,-18.5,5.710121795275591e-08
84,-18.0,6.906088125984253e-08
85,-17.5,7.598845433070866e-08
86,-17.0,6.754249385826771e-08
87,-16.5,7.570101149606299e-08
88,-16.0,5.6037794645669296e-08
89,-15.5,5.237833354330709e-08
90,-15.0,3.6232128346456696e-08
91,-14.5,5.57118262992126e-08
92,-14.0,5.908386645669292e-08
93,-13.5,3.551061244094488e-08
94,-13.0,4.497057149606299e-08
95,-12.5,5.156215354330709e-08
96,-12.0,4.8578944881889766e-08
97,-11.5,4.381166031496064e-08
98,-11.0,4.8478373543307085e-08
99,-10.5,5.763666440944882e-08
100,-10.0,4.615133732283465e-08
101,-9.5,5.055912818897638e-08
102,-9.0,4.657532456692913e-08
103,-8.5,4.8217755275590554e-08
104,-8.0,5.5463805039370085e-08
105,-7.5,3.181344078740157e-08
106,-7.0,5.6295851653543304e-08
107,-6.5,3.9615078425196854e-08
108,-6.0,5.195350267716535e-08
109,-5.5,3.808074598425197e-08
110,-5.0,4.278596283464567e-08
111,-4.75,4.367424188976378e-08
112,-4.5,4.565186818897638e-08
113,-4.25,5.001104078740158e-08
114,-4.0,4.904405401574803e-08
115,-3.75,3.596146787401575e-08
116,-3.5,5.2806525511811024e-08
117,-3.25,2.0163857480314965e-08
118,-3.0,4.800492897637795e-08
119,-2.75,4.548175921259842e-08
120,-2.5,5.424200456692914e-08
121,-2.25,5.073168488188977e-08
122,-2.0,5.803470566929135e-08
123,-1.75,4.612366488188977e-08
124,-1.5,4.417784157480315e-08
125,-1.25,5.067220913385827e-08
126,-1.0,6.338692031496062e-08
127,-0.75,7.776907732283464e-08
128,-0.5,8.731123433070866e-08
