,angle,pm_value
0,-60.0,1.8778677347242922e-07
1,-59.5,2.191242275211128e-07
2,-59.0,2.9092409885742673e-07
3,-58.5,3.685183969200199e-07
4,-58.0,3.373708221559861e-07
5,-57.5,2.511794605067064e-07
6,-57.0,2.1619396671634378e-07
7,-56.5,2.1388536462990564e-07
8,-56.0,2.3007992796820668e-07
9,-55.5,2.387976661698957e-07
10,-55.0,2.374635012419275e-07
11,-54.5,2.1764845255837062e-07
12,-54.0,2.02026131147541e-07
13,-53.5,1.824398002980626e-07
14,-53.0,1.658818142076503e-07
15,-52.5,1.6348582811723796e-07
16,-52.0,2.0431368703427721e-07
17,-51.5,3.905072106308992e-07
18,-51.0,4.4120732886239443e-07
19,-50.5,1.6467304421261798e-07
20,-50.0,1.2454127819175363e-07
21,-49.5,1.2583694634873324e-07
22,-49.0,1.4400177247888724e-07
23,-48.5,1.6695740139095878e-07
24,-48.0,2.0745827074018877e-07
25,-47.5,2.3725791455539e-07
26,-47.0,2.581755310481868e-07
27,-46.5,2.5561911674118234e-07
28,-46.0,2.6253380427223056e-07
29,-45.5,3.099601053154496e-07
30,-45.0,5.210114605067065e-07
31,-44.5,9.86521525086935e-07
32,-44.0,5.848035419771486e-07
33,-43.5,2.1810004272230504e-07
34,-43.0,1.258847749627422e-07
35,-42.5,7.058264679582714e-08
36,-42.0,5.104558370591158e-08
37,-41.5,4.365145161450572e-08
38,-41.0,4.513589920516642e-08
39,-40.5,4.878185399900646e-08
40,-40.0,5.944312220566319e-08
41,-39.5,5.256651217088922e-08
42,-39.0,4.128795057128664e-08
43,-38.5,3.409788872329856e-08
44,-38.0,3.671418748137109e-08
45,-37.5,4.117418996522604e-08
46,-37.0,3.761910745156483e-08
47,-36.5,3.342448579234973e-08
48,-36.0,2.7306183457526082e-08
49,-35.5,2.819821708892201e-08
50,-35.0,1.915940774962742e-08
51,-34.5,1.7565169100844513e-08
52,-34.0,1.5257710084451068e-08
53,-33.5,1.6015033333333334e-08
54,-33.0,1.600508792846498e-08
55,-32.5,1.397827044212618e-08
56,-32.0,1.5769246845504224e-08
57,-31.5,1.2358457526080476e-08
58,-31.0,1.3614698609041233e-08
59,-30.5,1.533767317436662e-08
60,-30.0,1.1331119970193742e-08
61,-29.5,1.6562051167411823e-08
62,-29.0,1.901445827123696e-08
63,-28.5,1.3202027074018879e-08
64,-28.0,2.02610696969697e-08
65,-27.5,1.5040441728763043e-08
66,-27.0,1.1378889071038253e-08
67,-26.5,1.8137066318926976e-08
68,-26.0,1.6408104918032788e-08
69,-25.5,1.7874987779433682e-08
70,-25.0,1.663833556880278e-08
71,-24.5,1.3986565375062098e-08
72,-24.0,1.2319985792349727e-08
73,-23.5,1.4446990809736712e-08
74,-23.0,1.654114143070045e-08
75,-22.5,9.497691852955788e-09
76,-22.0,1.698499622454049e-08
77,-21.5,1.6826097267759564e-08
78,-21.0,2.7388451962245405e-09
79,-20.5,1.6273777893691012e-08
80,-20.0,1.7064927620466964e-08
81,-19.5,2.930911227024342e-09
82,-19.0,1.9438740784898163e-08
83,-18.5,1.8271740834575263e-08
84,-18.0,1.816756438152012e-08
85,-17.5,1.514526482861401e-08
86,-17.0,1.7173745156482865e-08
87,-16.5,9.547083010432191e-08
88,-16.0,6.480577496274218e-08
89,-15.5,1.3847469299552907e-07
90,-15.0,1.9788341629408844e-07
91,-14.5,1.342995042225534e-07
92,-14.0,8.81699085941381e-08
93,-13.5,1.466920531544958e-07
94,-13.0,1.1994462394436165e-07
95,-12.5,2.4333317287630408e-08
96,-12.0,2.2942389269746648e-08
97,-11.5,2.3955141033283657e-08
98,-11.0,2.4036717287630404e-08
99,-10.5,2.1592934724292102e-08
100,-10.0,1.8105219821162446e-08
101,-9.5,2.3585240387481372e-08
102,-9.0,2.4845798559364135e-08
103,-8.5,2.046509314456036e-08
104,-8.0,2.0347001689021363e-08
105,-7.5,2.2682991157476404e-08
106,-7.0,1.6534521708892202e-08
107,-6.5,2.3658257029309492e-08
108,-6.0,2.44195567312469e-08
109,-5.5,2.159294848484849e-08
110,-5.0,2.3189517337307504e-08
111,-4.75,2.3856958271236963e-08
112,-4.5,2.364296870342772e-08
113,-4.25,2.584197138599106e-08
114,-4.0,2.3990322901142575e-08
115,-3.75,2.1968120317933433e-08
116,-3.5,2.165398315946349e-08
117,-3.25,2.0900655787382017e-08
118,-3.0,1.9078145802285147e-08
119,-2.75,1.8816092101341282e-08
120,-2.5,2.2945047640337803e-08
121,-2.25,2.4673642275211127e-08
122,-2.0,2.3874527123695975e-08
123,-1.75,2.2665389170392453e-08
124,-1.5,1.7416229359165424e-08
125,-1.25,2.2073594287133633e-08
126,-1.0,2.5979301490312966e-08
127,-0.75,2.2523431743666173e-08
128,-0.5,2.4485891604570296e-08
