,angle,pm_value
0,-60.0,5.6949696472925984e-06
1,-59.5,6.119061301539991e-06
2,-59.0,6.845003030303032e-06
3,-58.5,8.348267908594139e-06
4,-58.0,1.1427689518132142e-05
5,-57.5,1.652684143070045e-05
6,-57.0,2.1324255141579733e-05
7,-56.5,2.050704694485842e-05
8,-56.0,1.635458440139096e-05
9,-55.5,1.3469772429210135e-05
10,-55.0,1.283161962245405e-05
11,-54.5,1.3401472776949828e-05
12,-54.0,1.4512268852459017e-05
13,-53.5,1.489960606060606e-05
14,-53.0,1.3132576304023846e-05
15,-52.5,1.0786314058618978e-05
16,-52.0,9.904761003477398e-06
17,-51.5,1.1967351167411824e-05
18,-51.0,1.971204530551416e-05
19,-50.5,1.758618474913065e-05
20,-50.0,5.496342424242424e-06
21,-49.5,3.00732394932936e-06
22,-49.0,2.7640975459513165e-06
23,-48.5,3.010054932935917e-06
24,-48.0,3.3828512568306014e-06
25,-47.5,3.417320521609538e-06
26,-47.0,3.4588027322404375e-06
27,-46.5,3.671003691008446e-06
28,-46.0,3.963420794833582e-06
29,-45.5,4.271461366120219e-06
30,-45.0,4.497886239443617e-06
31,-44.5,4.378933338301043e-06
32,-44.0,4.835442394436165e-06
33,-43.5,6.136917039244909e-06
34,-43.0,7.353265921510185e-06
35,-42.5,6.003091405861899e-06
36,-42.0,2.9915564629905615e-06
37,-41.5,1.6369900397416791e-06
38,-41.0,1.02902348733234e-06
39,-40.5,7.805378142076504e-07
40,-40.0,8.913218579234973e-07
41,-39.5,1.0955824192747144e-06
42,-39.0,1.048127923497268e-06
43,-38.5,6.737137754595133e-07
44,-38.0,4.6269378986587186e-07
45,-37.5,3.6952526378539496e-07
46,-37.0,3.347498137108793e-07
47,-36.5,2.928278360655738e-07
48,-36.0,2.479055986090413e-07
49,-35.5,2.0841955986090414e-07
50,-35.0,1.754078474913065e-07
51,-34.5,1.5461430203676107e-07
52,-34.0,1.3126203775459513e-07
53,-33.5,1.1355823298559365e-07
54,-33.0,1.0071762394436166e-07
55,-32.5,9.516893541977149e-08
56,-32.0,8.467846944858421e-08
57,-31.5,7.71802394436165e-08
58,-31.0,7.234707948335817e-08
59,-30.5,6.743028067560854e-08
60,-30.0,6.730424590163936e-08
61,-29.5,5.880121708892201e-08
62,-29.0,5.5630975658221566e-08
63,-28.5,5.582500298062594e-08
64,-28.0,5.226966418281172e-08
65,-27.5,4.962979299552907e-08
66,-27.0,4.528290034773969e-08
67,-26.5,5.019467213114754e-08
68,-26.0,4.811443512170889e-08
69,-25.5,4.865185916542474e-08
70,-25.0,4.455639642324888e-08
71,-24.5,4.575660377545952e-08
72,-24.0,4.9645676999503235e-08
73,-23.5,5.6645018380526575e-08
74,-23.0,5.858667858917039e-08
75,-22.5,7.637019572776951e-08
76,-22.0,1.1492434227521114e-07
77,-21.5,2.3185246845504225e-07
78,-21.0,1.0085158718330849e-06
79,-20.5,2.220871564828614e-06
80,-20.0,2.641769831097864e-06
81,-19.5,6.087473869846001e-07
82,-19.0,2.978009076005961e-07
83,-18.5,2.2920132439145556e-07
84,-18.0,3.5659189915548936e-07
85,-17.5,8.135368405365127e-07
86,-17.0,1.998492687531048e-06
87,-16.5,2.74799826130154e-06
88,-16.0,1.4722811674118232e-06
89,-15.5,6.242474863387978e-07
90,-15.0,3.3562091654247396e-07
91,-14.5,2.675748012916046e-07
92,-14.0,2.195641693989071e-07
93,-13.5,2.2072661102831597e-07
94,-13.0,1.7308881073025336e-07
95,-12.5,6.933107302533533e-08
96,-12.0,5.8632350720317934e-08
97,-11.5,5.425901490312966e-08
98,-11.0,4.8262051217088925e-08
99,-10.5,4.579174982613016e-08
100,-10.0,4.698661838052658e-08
101,-9.5,4.378349259811227e-08
102,-9.0,4.04204957774466e-08
103,-8.5,4.064904287133632e-08
104,-8.0,4.0807609538002984e-08
105,-7.5,4.213451907600596e-08
106,-7.0,3.6287256234475913e-08
107,-6.5,4.6488352707401894e-08
108,-6.0,4.382400774962742e-08
109,-5.5,4.1217647491306514e-08
110,-5.0,4.6304931495280676e-08
111,-4.75,4.238864321907601e-08
112,-4.5,4.0295142076502735e-08
113,-4.25,4.4027989865871836e-08
114,-4.0,4.242340317933433e-08
115,-3.75,4.299037252856434e-08
116,-3.5,4.175269448584203e-08
117,-3.25,3.9890429110779935e-08
118,-3.0,3.879669393939394e-08
119,-2.75,3.7794581172379534e-08
120,-2.5,3.461107317436662e-08
121,-2.25,4.204395842026826e-08
122,-2.0,4.137022732240437e-08
123,-1.75,4.1535445404868356e-08
124,-1.5,3.990071783407849e-08
125,-1.25,5.041367759562842e-08
126,-1.0,4.7261262096373575e-08
127,-0.75,5.0536011922503725e-08
128,-0.5,4.107665524093393e-08
129,-0.25,4.336651644311972e-08
130,0.0,5.654979185295579e-08
131,0.25,4.0533950322901144e-08
132,0.5,3.7288039841033286e-08
133,0.75,4.008179503229012e-08
134,1.0,4.0171078936910086e-08
135,1.25,3.5788654148037754e-08
136,1.5,3.908497968206657e-08
137,1.75,4.158983144560358e-08
138,2.0,3.8995775757575764e-08
139,2.25,3.915297739692002e-08
140,2.5,4.5024137853949336e-08
141,2.75,4.3119062990561354e-08
142,3.0,4.1466741728763044e-08
143,3.25,3.624344575260805e-08
144,3.5,3.717893412816692e-08
145,3.75,3.921003556880279e-08
146,4.0,3.7303022056631895e-08
147,4.25,3.6718784451068057e-08
148,4.5,3.447738037754595e-08
149,4.75,3.2576930054644814e-08
150,5.0,3.324370089418778e-08
151,5.5,3.1055326130154e-08
152,6.0,3.5726963139592655e-08
153,6.5,3.55090219076006e-08
154,7.0,3.557737536015897e-08
155,7.5,3.6779201440635866e-08
156,8.0,4.357048474913065e-08
157,8.5,3.858476159960259e-08
158,9.0,3.965751664182812e-08
159,9.5,4.422701097863885e-08
160,10.0,5.079445156482862e-08
161,10.5,4.9132503576751124e-08
162,11.0,6.152367362146051e-08
163,11.5,6.769670094386489e-08
164,12.0,7.496765822155987e-08
165,12.5,9.496480427223052e-08
166,13.0,1.4188201291604571e-07
167,13.5,2.1913122106308994e-07
