,angle,pm_value
0,-60.0,4.082987193243915e-08
1,-59.5,4.217927824143071e-08
2,-59.0,4.269910581222057e-08
3,-58.5,4.003138827620467e-08
4,-58.0,4.713288325881769e-08
5,-57.5,4.166412757078987e-08
6,-57.0,4.5790729508196726e-08
7,-56.5,5.2454061599602584e-08
8,-56.0,5.2197645802285154e-08
9,-55.5,5.3113819672131146e-08
10,-55.0,5.495456184798808e-08
11,-54.5,6.02083651266766e-08
12,-54.0,5.968429905613513e-08
13,-53.5,6.42318787878788e-08
14,-53.0,6.507576403378044e-08
15,-52.5,6.643213313462494e-08
16,-52.0,7.058366169895678e-08
17,-51.5,7.701932588176851e-08
18,-51.0,8.279197267759564e-08
19,-50.5,8.602167958271237e-08
20,-50.0,9.14290223546945e-08
21,-49.5,9.5881739195231e-08
22,-49.0,1.0280807501241929e-07
23,-48.5,1.1143460158966717e-07
24,-48.0,1.2311842771982116e-07
25,-47.5,1.2393948534525584e-07
26,-47.0,1.3979189269746648e-07
27,-46.5,1.5218765126676603e-07
28,-46.0,1.6589278936910084e-07
29,-45.5,1.8579971137605565e-07
30,-45.0,1.989376482861401e-07
31,-44.5,2.1560447292598115e-07
32,-44.0,2.4055079284649776e-07
33,-43.5,2.5718095181321414e-07
34,-43.0,2.887694828614009e-07
35,-42.5,3.216171053154496e-07
36,-42.0,3.748045866865375e-07
37,-41.5,4.785027039244908e-07
38,-41.0,6.216501043219076e-07
39,-40.5,8.774970690511675e-07
40,-40.0,1.2413807252856434e-06
41,-39.5,1.7152286338797815e-06
42,-39.0,2.3953039791356188e-06
43,-38.5,3.1412360158966716e-06
44,-38.0,4.118435593641331e-06
45,-37.5,4.989654148037755e-06
46,-37.0,6.1971638350720325e-06
47,-36.5,7.158493194237457e-06
48,-36.0,8.342697218082465e-06
49,-35.5,9.213959562841531e-06
50,-35.0,1.026124873323398e-05
51,-34.5,1.1111274565325385e-05
52,-34.0,1.2068642821659215e-05
53,-33.5,1.2891429458519623e-05
54,-33.0,1.3669793194237459e-05
55,-32.5,1.4359049975161451e-05
56,-32.0,1.480192742175857e-05
57,-31.5,1.5074884550422258e-05
58,-31.0,1.5163079384003975e-05
59,-30.5,1.5160868355688028e-05
60,-30.0,1.5098692151018381e-05
61,-29.5,1.5058140735221065e-05
62,-29.0,1.5110375707898658e-05
63,-28.5,1.529183695976155e-05
64,-28.0,1.5851215151515152e-05
65,-27.5,1.6750243368107304e-05
66,-27.0,1.823652652757079e-05
67,-26.5,2.0367327372081473e-05
68,-26.0,2.2972262444113265e-05
69,-25.5,2.5896712319920517e-05
70,-25.0,2.8658932588176855e-05
71,-24.5,3.0993547988077495e-05
72,-24.0,3.216117054148038e-05
73,-23.5,3.179192553402882e-05
74,-23.0,2.9874593889716843e-05
75,-22.5,2.727257441629409e-05
76,-22.0,2.4429824590163938e-05
77,-21.5,2.2018868703427723e-05
78,-21.0,2.0090959066070544e-05
79,-20.5,1.883202702434178e-05
80,-20.0,1.7774440089418778e-05
81,-19.5,1.6875658966716345e-05
82,-19.0,1.6092614704421263e-05
83,-18.5,1.527930486835569e-05
84,-18.0,1.4739903725782416e-05
85,-17.5,1.4280177993045206e-05
86,-17.0,1.3935271435668158e-05
87,-16.5,1.3750442771982118e-05
88,-16.0,1.3544411525086936e-05
89,-15.5,1.3300416840536514e-05
90,-15.0,1.3308845951316442e-05
