Group,Element,Line width,I_max,I_min,Contrast
0,2,445.45,337,9,0.95
0,3,396.85,297,6,0.96
0,4,353.55,215,7,0.94
0,5,314.98,281,15,0.9
0,6,280.62,279,14,0.9
1,1,250,410,22,0.9
1,2,222.72,281,17,0.89
1,3,198.43,256,21,0.85
1,4,176.78,245,25,0.81
1,5,157.49,173,13,0.86
1,6,140.31,157,20,0.77
2,1,125,198,20,0.82
2,2,111.36,195,36,0.69
2,3,99.21,206,47,0.63
2,4,88.49,212,55,0.59
2,5,78.75,161,46,0.56
2,6,70.15,151,61,0.42
3,1,62.5,346,135,0.44
3,2,55.68,286,145,0.33
3,3,49.61,219,131,0.25
