,angle,pm_value
0,-60.0,1.1130273554083885e-06
1,-59.0,1.2004204834437085e-06
2,-58.0,1.529485e-06
3,-57.0,4.4535712803532e-06
4,-56.0,2.7241561368653422e-06
5,-55.0,3.0992760485651214e-06
6,-54.0,3.846581125827814e-06
7,-53.0,3.414006490066225e-06
8,-52.0,2.7154555187637966e-06
9,-51.0,2.442070088300221e-06
10,-50.0,2.1027377041942604e-06
11,-49.0,2.065058940397351e-06
12,-48.0,2.5735140397350995e-06
13,-47.0,3.049639426048565e-06
14,-46.0,3.513161302428256e-06
15,-45.0,4.443184900662252e-06
16,-44.0,6.09212008830022e-06
17,-43.0,1.1718911545253862e-05
18,-42.0,2.606884370860927e-05
19,-41.0,7.517852715231788e-05
20,-40.0,0.0001793360801324503
21,-39.0,0.00048679830463576153
22,-38.0,0.001015757613686534
23,-37.0,0.0020341784591611477
24,-36.0,0.004336178410596026
25,-35.0,0.005918781920529801
26,-34.0,0.006090894459161148
27,-33.0,0.006832079227373068
28,-32.0,0.00906480880794702
29,-31.0,0.01069997991169978
30,-30.0,0.010331092052980132
31,-29.0,0.0070312758278145695
32,-28.0,0.003849700331125828
33,-27.0,0.0033962531788079473
34,-26.0,0.0008121717417218543
35,-25.0,0.0004750801280353201
36,-24.0,8.923920485651214e-05
37,-23.0,5.488636777041943e-06
38,-22.0,1.5573250816777042e-06
39,-21.0,6.22307306843267e-07
40,-20.0,3.9414255629139073e-07
41,-19.0,3.116355099337748e-07
42,-18.0,2.991373642384106e-07
43,-17.0,3.406622295805739e-07
44,-16.0,2.7712673951434876e-07
45,-15.0,2.694021611479029e-07
46,-14.0,2.69095293598234e-07
47,-13.0,1.6619421081677702e-07
48,-12.0,1.478777856512141e-07
49,-11.0,1.2887527682119205e-07
50,-10.0,1.2750785209713025e-07
51,-9.0,1.2896213399558497e-07
52,-8.0,1.1018407174392935e-07
53,-7.0,1.3844506843267108e-07
54,-6.0,1.195520013245033e-07
55,-5.0,1.191855174392936e-07
56,-4.5,8.58429651214128e-08
57,-4.0,8.697299690949226e-08
58,-3.5,8.495136158940396e-08
59,-3.0,8.848828587196468e-08
60,-2.5,8.667808918322296e-08
61,-2.0,7.61274412803532e-08
62,-1.5,7.358664216335541e-08
63,-1.0,8.244935275938189e-08
64,-0.5,7.813260088300221e-08
65,0.0,8.752738543046357e-08
66,0.5,6.883518763796909e-08
67,1.0,6.784148300220751e-08
68,1.5,6.555672119205297e-08
69,2.0,6.556140220750551e-08
70,2.5,6.618282075055187e-08
71,3.0,6.792839536423841e-08
72,3.5,6.856266843267108e-08
73,4.0,7.483408675496689e-08
74,4.5,7.403769161147902e-08
75,5.0,7.190921876379691e-08
76,6.0,6.771457924944812e-08
77,7.0,6.869197395143488e-08
78,8.0,7.178827064017659e-08
79,9.0,7.569160529801324e-08
80,10.0,7.836153841059602e-08
81,11.0,8.12582463576159e-08
82,12.0,8.451678763796909e-08
83,13.0,8.715501942604856e-08
84,14.0,9.612114878587197e-08
85,15.0,9.62233114790287e-08
86,16.0,1.1037796865342162e-07
87,17.0,1.5621189646799117e-07
88,18.0,2.2918355849889622e-07
89,19.0,2.8487097350993376e-07
90,20.0,3.148585386313466e-07
91,21.0,4.358299337748344e-07
92,22.0,1.8265783289183222e-06
93,23.0,2.3448347902869758e-05
94,24.0,0.00031358353421633554
95,25.0,0.0004778733112582781
96,26.0,0.0016913642075055185
97,27.0,0.0021765790286975718
98,28.0,0.002849774150110375
99,29.0,0.004681371214128036
100,30.0,0.005677249845474614
101,31.0,0.00527684408388521
102,32.0,0.004366026313465783
103,33.0,0.003647060905077263
104,34.0,0.003451965651214128
105,35.0,0.0029646800883002204
106,36.0,0.001746314953642384
107,37.0,0.0010041005209713025
108,38.0,0.0006463965562913907
109,39.0,0.0002619811280353201
110,40.0,0.00011625026269315672
111,41.0,5.1198911258278146e-05
112,42.0,2.348175430463576e-05
113,43.0,1.2574143841059603e-05
114,44.0,1.0103480860927152e-05
115,45.0,9.535892119205297e-06
116,46.0,7.95287348785872e-06
117,47.0,6.7188654525386306e-06
118,48.0,4.6357356953642385e-06
119,49.0,4.317129426048565e-06
120,50.0,4.687835496688741e-06
121,51.0,4.183660728476821e-06
122,52.0,3.7144111699779247e-06
123,53.0,3.4220961589403972e-06
124,54.0,3.1136619867549667e-06
125,55.0,2.8105221854304633e-06
126,56.0,2.4808511479028695e-06
127,57.0,2.2696417218543046e-06
128,58.0,2.2086981677704196e-06
129,59.0,1.8992348543046356e-06
130,60.0,1.3969220198675496e-06
