,angle,pm_value
0,-60.0,1.4301692361445782e-07
1,-59.0,1.3181851855421686e-07
2,-58.0,1.3083118265060242e-07
3,-57.0,1.5683965493975903e-07
4,-56.0,2.1180453638554215e-07
5,-55.0,2.2404566819277107e-07
6,-54.0,2.0082703903614457e-07
7,-53.0,2.0361800602409638e-07
8,-52.0,2.3428728843373494e-07
9,-51.0,2.6031787228915667e-07
10,-50.0,2.7073144337349397e-07
11,-49.0,3.1212291084337354e-07
12,-48.0,3.4784279759036143e-07
13,-47.0,3.8926291807228916e-07
14,-46.0,3.912413903614458e-07
15,-45.0,4.980685204819276e-07
16,-44.0,6.240419156626506e-07
17,-43.0,7.544609108433735e-07
18,-42.0,8.720034602409638e-07
19,-41.0,9.151177277108435e-07
20,-40.0,1.0274565662650602e-06
21,-39.0,1.085387308433735e-06
22,-38.0,1.4580295204819276e-06
23,-37.0,1.991657708433735e-06
24,-36.0,2.488042e-06
25,-35.0,2.102611739759036e-06
26,-34.0,2.025169857831325e-06
27,-33.0,2.277196156626506e-06
28,-32.0,2.767853734939759e-06
29,-31.0,2.665689686746988e-06
30,-30.0,2.6586347469879516e-06
31,-29.0,1.613277756626506e-06
32,-28.0,4.682372819277108e-07
33,-27.0,1.6147237493975906e-07
34,-26.0,9.153986144578313e-08
35,-25.0,6.361898963855422e-08
36,-24.0,4.226871855421687e-08
37,-23.0,3.410666337349398e-08
38,-22.0,2.453883156626506e-08
39,-21.0,2.2254626192771083e-08
40,-20.0,1.8925042265060243e-08
41,-19.0,9.171455421686746e-09
42,-18.0,5.862115927710844e-09
43,-17.0,4.581976313253012e-10
44,-16.0,-4.809952939759036e-10
45,-15.0,-1.4682426746987951e-09
46,-14.0,-2.7424429397590362e-09
47,-13.0,-2.5452473012048192e-09
48,-12.0,-2.684290843373494e-09
49,-11.0,-2.7260040240963854e-09
50,-10.0,-2.674168192771084e-09
51,-9.0,-2.4782403855421688e-09
52,-8.0,-2.178659696385542e-09
53,-7.0,-1.9852459710843374e-09
54,-6.0,-1.0321345518072288e-09
55,-5.0,2.4491093493975907e-09
56,-4.5,3.1822751807228917e-09
57,-4.0,3.347869373493976e-09
58,-3.5,2.851087204819277e-09
59,-3.0,-2.3071205662650605e-10
60,-2.5,-1.6372678072289158e-10
61,-2.0,-8.029495469879518e-11
62,-1.5,2.142332939759036e-10
63,-1.0,9.77744595180723e-10
64,-0.5,2.9677931325301205e-11
65,0.0,-4.013712530120482e-10
66,0.5,-3.508099156626506e-10
67,1.0,-4.809970192771084e-10
68,1.5,-6.112029084337349e-10
69,2.0,2.0686257686746988e-09
70,2.5,4.3123607951807225e-09
71,3.0,-6.94644778313253e-10
72,3.5,-2.7171517108433733e-09
73,4.0,-2.8106838313253013e-09
74,4.5,-2.9737493012048194e-09
75,5.0,-3.0255748915662652e-09
76,6.0,-3.309998265060241e-09
77,7.0,-3.2442585301204817e-09
78,8.0,-3.4414556144578313e-09
79,9.0,-3.371950265060241e-09
80,10.0,-3.6247732530120482e-09
81,11.0,-3.7448416144578314e-09
82,12.0,-3.805511807228915e-09
83,13.0,-3.182341855421687e-09
84,14.0,-3.1797767710843372e-09
85,15.0,-2.2949536771084335e-09
86,16.0,-8.084001590361447e-10
87,17.0,2.621026722891566e-09
88,18.0,5.441175879518072e-09
89,19.0,7.07941486746988e-09
90,20.0,1.0115740240963854e-08
91,21.0,1.397873534939759e-08
92,22.0,1.7888558771084337e-08
93,23.0,3.298408409638554e-08
94,24.0,5.4869074457831324e-08
95,25.0,1.0110379060240964e-07
96,26.0,3.042088674698795e-07
97,27.0,1.1557021469879519e-06
98,28.0,1.3326502963855422e-06
99,29.0,1.8028958240963856e-06
100,30.0,2.1622142891566264e-06
101,31.0,1.5440040144578314e-06
102,32.0,1.0581602530120482e-06
103,33.0,1.2810016506024096e-06
104,34.0,1.333358269879518e-06
105,35.0,9.904949686746988e-07
106,36.0,8.535461493975904e-07
107,37.0,7.705590915662651e-07
108,38.0,6.217652891566264e-07
109,39.0,6.230931156626505e-07
110,40.0,6.303040554216868e-07
111,41.0,6.887043542168674e-07
112,42.0,5.713921975903614e-07
113,43.0,4.180750795180723e-07
114,44.0,3.3133322168674697e-07
115,45.0,3.0781904578313256e-07
116,46.0,3.0320905060240964e-07
117,47.0,2.8212663855421687e-07
118,48.0,2.570970746987952e-07
119,49.0,2.517791060240964e-07
120,50.0,2.2704665445783134e-07
121,51.0,1.9923809590361446e-07
122,52.0,2.024046660240964e-07
123,53.0,2.2365120457831325e-07
124,54.0,2.0903095855421688e-07
125,55.0,1.580872113253012e-07
126,56.0,1.3131910554216869e-07
127,57.0,1.3242649277108433e-07
128,58.0,1.437588869879518e-07
129,59.0,1.5398779975903615e-07
130,60.0,1.7700697662650602e-07
