,angle,pm_value
0,-60.0,1.7660460771084338e-07
1,-59.0,1.74408078313253e-07
2,-58.0,1.7875002674698795e-07
3,-57.0,1.8225522819277109e-07
4,-56.0,1.9305826024096385e-07
5,-55.0,2.0129373397590362e-07
6,-54.0,2.1139988024096387e-07
7,-53.0,2.2415438987951808e-07
8,-52.0,2.428562843373494e-07
9,-51.0,2.5597946746987953e-07
10,-50.0,2.745639060240964e-07
11,-49.0,3.1035840481927707e-07
12,-48.0,3.535806192771084e-07
13,-47.0,4.4089037590361444e-07
14,-46.0,4.5770717831325303e-07
15,-45.0,5.081154771084337e-07
16,-44.0,5.854193156626506e-07
17,-43.0,7.07366e-07
18,-42.0,8.990403060240964e-07
19,-41.0,1.0394618506024097e-06
20,-40.0,1.2703874891566265e-06
21,-39.0,1.4095537060240964e-06
22,-38.0,1.8863822409638555e-06
23,-37.0,2.3076063156626503e-06
24,-36.0,2.7680350120481927e-06
25,-35.0,2.9518408674698796e-06
26,-34.0,3.7810187710843373e-06
27,-33.0,4.517363180722892e-06
28,-32.0,4.5374745542168675e-06
29,-31.0,4.8402e-06
30,-30.0,7.538662385542168e-06
31,-29.0,7.681014048192771e-06
32,-28.0,8.51455773493976e-06
33,-27.0,8.630960048192771e-06
34,-26.0,1.204731886746988e-05
35,-25.0,1.4785360192771083e-05
36,-24.0,1.476786713253012e-05
37,-23.0,1.615725043373494e-05
38,-22.0,2.113206144578313e-05
39,-21.0,2.5553643855421687e-05
40,-20.0,2.9461580963855418e-05
41,-19.0,4.2853195421686745e-05
42,-18.0,7.457805879518072e-05
43,-17.0,8.609400795180723e-05
44,-16.0,0.0001508990187951807
45,-15.0,0.000179562018313253
46,-14.0,0.0002661910746987952
47,-13.0,0.000343221686746988
48,-12.0,0.0003361842530120482
49,-11.0,0.0003277436481927711
50,-10.0,0.0005051543421686746
51,-9.0,0.0004699668144578313
52,-8.0,0.00047471930602409633
53,-7.0,0.0005584930819277108
54,-6.0,0.000382699043373494
55,-5.0,0.0002818821301204819
56,-4.5,0.0003131670240963856
57,-4.0,0.000330686821686747
58,-3.5,0.00030861552289156624
59,-3.0,0.0002879517469879518
60,-2.5,0.00028422586024096384
61,-2.0,0.0002889871204819277
62,-1.5,0.00029174593012048193
63,-1.0,0.0002746340891566265
64,-0.5,0.00027280649638554216
65,0.0,0.0003043974939759036
66,0.5,0.00036398591566265057
67,1.0,0.00044918724337349397
68,1.5,0.000538434286746988
69,2.0,0.0005877078602409638
70,2.5,0.0006149025734939759
71,3.0,0.0006208460120481927
72,3.5,0.0005966023903614458
73,4.0,0.000584806956626506
74,4.5,0.0005706073325301204
75,5.0,0.00048167874939759035
76,6.0,0.000366500421686747
77,7.0,0.0003228756313253012
78,8.0,0.00020233177975903613
79,9.0,0.00013459384722891565
80,10.0,0.0001023163048192771
81,11.0,9.91632961445783e-05
82,12.0,8.888480771084337e-05
83,13.0,6.245176168674699e-05
84,14.0,4.105533734939759e-05
85,15.0,3.1496904096385544e-05
86,16.0,2.6245120240963853e-05
87,17.0,2.1044853036144577e-05
88,18.0,1.2312191204819276e-05
89,19.0,1.2359274506024097e-05
90,20.0,1.0177494819277108e-05
91,21.0,9.550943373493977e-06
92,22.0,7.67949708433735e-06
93,23.0,8.263593180722893e-06
94,24.0,6.658266554216867e-06
95,25.0,6.03289134939759e-06
96,26.0,5.774971614457831e-06
97,27.0,5.794512819277109e-06
98,28.0,3.5124045060240965e-06
99,29.0,3.2598958072289154e-06
100,30.0,3.4505643855421683e-06
101,31.0,3.0200996144578312e-06
102,32.0,1.905414086746988e-06
103,33.0,1.654002021686747e-06
104,34.0,1.435982578313253e-06
105,35.0,1.2197058891566266e-06
106,36.0,1.1808719469879518e-06
107,37.0,1.0205845277108433e-06
108,38.0,7.945302240963855e-07
109,39.0,7.209143590361445e-07
110,40.0,6.661105397590361e-07
111,41.0,6.728992192771085e-07
112,42.0,6.250963879518072e-07
113,43.0,5.475308554216867e-07
114,44.0,4.948337325301204e-07
115,45.0,4.762195445783132e-07
116,46.0,4.6255775662650606e-07
117,47.0,4.4387845542168676e-07
118,48.0,4.047035253012048e-07
119,49.0,3.7703050843373495e-07
120,50.0,3.665172048192771e-07
121,51.0,3.6687499036144574e-07
122,52.0,3.781515927710843e-07
123,53.0,3.5124872289156623e-07
124,54.0,3.4542385060240964e-07
125,55.0,4.025165734939759e-07
126,56.0,4.078068e-07
127,57.0,4.0937954457831324e-07
128,58.0,3.8275420240963853e-07
129,59.0,3.6348966746987955e-07
130,60.0,3.564981518072289e-07
