,angle,pm_value
0,-60.0,9.29855760456274e-06
1,-59.0,1.1180294486692017e-05
2,-58.0,1.1130493472750317e-05
3,-57.0,9.948539416983523e-06
4,-56.0,1.030221134347275e-05
5,-55.0,1.2751117173637516e-05
6,-54.0,1.415014607097592e-05
7,-53.0,1.1852972243346008e-05
8,-52.0,1.0644029214195186e-05
9,-51.0,1.1168787135614703e-05
10,-50.0,1.283888852978454e-05
11,-49.0,1.422177224334601e-05
12,-48.0,1.5987132319391637e-05
13,-47.0,2.0830748162230674e-05
14,-46.0,2.539087452471483e-05
15,-45.0,2.1376497211660333e-05
16,-44.0,1.9027340240811155e-05
17,-43.0,2.2207951077313055e-05
18,-42.0,3.0241876742712295e-05
19,-41.0,3.9683417363751584e-05
20,-40.0,5.0384205386565276e-05
21,-39.0,6.382835107731307e-05
22,-38.0,7.672056844106464e-05
23,-37.0,9.596807414448669e-05
24,-36.0,0.00012152026425855514
25,-35.0,0.00016031796514575413
26,-34.0,0.0002177461007604563
27,-33.0,0.00020089422433460077
28,-32.0,0.00014292292839036756
29,-31.0,0.00011608755386565274
30,-30.0,6.809528200253487e-05
31,-29.0,2.776506349809886e-05
32,-28.0,1.3699761026615971e-05
33,-27.0,8.18485164765526e-06
34,-26.0,5.992333346007605e-06
35,-25.0,5.129645304182509e-06
36,-24.0,4.635161147021547e-06
37,-23.0,4.195332940430925e-06
38,-22.0,3.867900621039291e-06
39,-21.0,3.446876356147022e-06
40,-20.0,3.0677896514575413e-06
41,-19.0,2.869140272496832e-06
42,-18.0,2.748391235741445e-06
43,-17.0,2.6266313181242084e-06
44,-16.0,2.5831862230671737e-06
45,-15.0,2.6345479214195185e-06
46,-14.0,2.7177428897338404e-06
47,-13.0,2.8726013561470217e-06
48,-12.0,3.059789968314322e-06
49,-11.0,3.2207695437262358e-06
50,-10.0,3.4336045627376427e-06
51,-9.0,3.6971738149556404e-06
52,-8.0,3.950270893536122e-06
53,-7.0,4.14417566539924e-06
54,-6.0,4.284724442332066e-06
55,-5.0,4.38504695183777e-06
56,-4.5,4.301147522179975e-06
57,-4.0,4.288654036755386e-06
58,-3.5,4.171452762991129e-06
59,-3.0,4.0810674904942965e-06
60,-2.5,3.994368219264893e-06
61,-2.0,3.943691394169836e-06
62,-1.5,3.8427628073510775e-06
63,-1.0,3.7938843979721167e-06
64,-0.5,3.7547338593155896e-06
65,0.0,3.7057097845373893e-06
66,0.5,3.6508507541191385e-06
67,1.0,3.623918574144487e-06
68,1.5,3.6045033713561473e-06
69,2.0,3.5792590684410652e-06
70,2.5,3.5166552091254754e-06
71,3.0,3.5332602091254753e-06
72,3.5,3.5456381939163502e-06
73,4.0,3.5620779404309252e-06
74,4.5,3.5742780671736375e-06
75,5.0,3.577665975918885e-06
76,6.0,3.554030297845374e-06
77,7.0,3.5701597972116607e-06
78,8.0,3.6277909822560203e-06
79,9.0,3.6990996641318126e-06
80,10.0,3.7835873827629914e-06
81,11.0,3.829264746514576e-06
82,12.0,3.9052288783269965e-06
83,13.0,4.107009505703422e-06
84,14.0,4.184852661596959e-06
85,15.0,4.2516549366286445e-06
86,16.0,4.266345342205323e-06
87,17.0,4.349559442332066e-06
88,18.0,4.384863688212928e-06
89,19.0,4.32953050697085e-06
90,20.0,4.226031267427123e-06
91,21.0,4.135311444866921e-06
92,22.0,4.1247456083650195e-06
93,23.0,4.116341121673004e-06
94,24.0,4.207508079847909e-06
95,25.0,4.319028168567807e-06
96,26.0,4.1739639797211665e-06
97,27.0,4.160433048162231e-06
98,28.0,4.256544081115336e-06
99,29.0,5.016353365019012e-06
100,30.0,7.937938466413181e-06
101,31.0,1.556023929024081e-05
102,32.0,3.885607179974652e-05
103,33.0,7.45486742712294e-05
104,34.0,8.878612801013942e-05
105,35.0,0.00011770148162230672
106,36.0,0.00015111423067173637
107,37.0,0.00011950111280101395
108,38.0,9.371152724968315e-05
109,39.0,8.258724144486693e-05
110,40.0,6.95723897338403e-05
111,41.0,5.757875221799747e-05
112,42.0,4.462327972116604e-05
113,43.0,3.407678669201521e-05
114,44.0,2.644741102661597e-05
115,45.0,2.0430018250950572e-05
116,46.0,1.7272189797211662e-05
117,47.0,1.7423125665399242e-05
118,48.0,2.0401737008871992e-05
119,49.0,1.7524602724968317e-05
120,50.0,1.2709832762991128e-05
121,51.0,1.0481101520912548e-05
122,52.0,8.835734030418251e-06
123,53.0,7.5019840304182515e-06
124,54.0,6.505093029150824e-06
125,55.0,6.998880164765527e-06
126,56.0,8.792864575411914e-06
127,57.0,8.391824904942967e-06
128,58.0,6.737333333333333e-06
129,59.0,6.288123998732573e-06
130,60.0,6.884813751584284e-06
