,angle,pm_value
0,-60.0,4.928908178947368e-05
1,-59.0,3.133490094736842e-05
2,-58.0,3.935663305263158e-05
3,-57.0,7.356589252631578e-05
4,-56.0,0.00012575285578947368
5,-55.0,0.00015246697368421054
6,-54.0,0.00014444982315789474
7,-53.0,0.00012084026736842105
8,-52.0,9.799473326315789e-05
9,-51.0,6.926134242105263e-05
10,-50.0,4.531283610526316e-05
11,-49.0,3.192345473684211e-05
12,-48.0,2.7516238631578946e-05
13,-47.0,2.380628557894737e-05
14,-46.0,2.016962505263158e-05
15,-45.0,1.8159301473684213e-05
16,-44.0,1.7350393368421053e-05
17,-43.0,1.6843879263157896e-05
18,-42.0,1.6791512315789474e-05
19,-41.0,1.6752565157894735e-05
20,-40.0,1.6138678736842104e-05
21,-39.0,1.5138296210526317e-05
22,-38.0,1.4064022e-05
23,-37.0,1.3063297368421052e-05
24,-36.0,1.2466243263157896e-05
25,-35.0,1.2238955578947368e-05
26,-34.0,1.2282820421052633e-05
27,-33.0,1.2591681157894736e-05
28,-32.0,1.3068024315789473e-05
29,-31.0,1.3589659894736843e-05
30,-30.0,1.4011408210526317e-05
31,-29.0,1.4270176631578947e-05
32,-28.0,1.4330551263157894e-05
33,-27.0,1.4340549368421053e-05
34,-26.0,1.4388620315789474e-05
35,-25.0,1.4216447473684211e-05
36,-24.0,1.3819844947368421e-05
37,-23.0,1.3162160000000001e-05
38,-22.0,1.3966193368421052e-05
39,-21.0,1.1254569684210525e-05
40,-20.0,1.0667747368421053e-05
41,-19.0,1.0319290684210527e-05
42,-18.0,1.0114851642105262e-05
43,-17.0,1.0112643357894737e-05
44,-16.0,1.0562298210526316e-05
45,-15.0,9.858529894736843e-06
46,-14.0,9.780750715789474e-06
47,-13.0,1.0038610410526317e-05
48,-12.0,9.407497e-06
49,-11.0,9.715699589473684e-06
50,-10.0,9.720744442105264e-06
51,-9.0,9.740682642105263e-06
52,-8.0,9.76678667368421e-06
53,-7.0,9.960319821052631e-06
54,-6.0,1.0993764e-05
55,-5.0,9.789070610526316e-06
56,-4.5,9.82638625263158e-06
57,-4.0,9.977731852631578e-06
58,-3.5,1.000101802105263e-05
59,-3.0,1.013065e-05
60,-2.5,1.0383694842105264e-05
61,-2.0,1.0556680210526316e-05
62,-1.5,1.0286531863157893e-05
63,-1.0,1.0512390957894737e-05
64,-0.5,1.1000690842105262e-05
65,0.0,1.0693697157894738e-05
66,0.5,1.0738194842105262e-05
67,1.0,1.0898801894736842e-05
68,1.5,1.0710009684210525e-05
69,2.0,1.0944069052631579e-05
70,2.5,1.0669306842105263e-05
71,3.0,1.0464799557894736e-05
72,3.5,1.0587885157894737e-05
73,4.0,1.0517175905263157e-05
74,4.5,1.0361939147368422e-05
75,5.0,1.0184904610526316e-05
76,6.0,1.0040463431578947e-05
77,7.0,9.790642210526316e-06
78,8.0,9.602281073684212e-06
79,9.0,9.447067694736843e-06
80,10.0,9.293689557894736e-06
81,11.0,9.253348494736843e-06
82,12.0,9.188285221052631e-06
83,13.0,9.137697378947368e-06
84,14.0,9.16159872631579e-06
85,15.0,9.281959063157895e-06
86,16.0,9.343651000000001e-06
87,17.0,9.55316387368421e-06
88,18.0,1.0943572631578948e-05
89,19.0,1.0118667073684211e-05
90,20.0,1.0310717421052632e-05
91,21.0,1.0600019578947367e-05
92,22.0,1.0928194e-05
93,23.0,1.1285391368421052e-05
94,24.0,1.1999774736842106e-05
95,25.0,1.2006949368421052e-05
96,26.0,1.2237967368421053e-05
97,27.0,1.2610910631578947e-05
98,28.0,1.3045131789473685e-05
99,29.0,1.3582176736842105e-05
100,30.0,1.4036568842105263e-05
101,31.0,1.4528813263157895e-05
102,32.0,1.5132311789473685e-05
103,33.0,1.594735947368421e-05
104,34.0,1.6399799368421052e-05
105,35.0,1.6983487789473686e-05
106,36.0,1.7645569684210526e-05
107,37.0,1.8507957263157896e-05
108,38.0,1.926746757894737e-05
109,39.0,2.008512652631579e-05
110,40.0,2.087058852631579e-05
111,41.0,2.175407547368421e-05
112,42.0,2.2500633368421053e-05
113,43.0,2.319041705263158e-05
114,44.0,2.3964459894736842e-05
115,45.0,2.4670584210526316e-05
116,46.0,2.5481698631578945e-05
117,47.0,2.5895937578947367e-05
118,48.0,2.6322775578947368e-05
119,49.0,2.667642757894737e-05
120,50.0,2.701038642105263e-05
121,51.0,2.741321e-05
122,52.0,2.8256224e-05
123,53.0,2.931901084210526e-05
124,54.0,3.0630831684210524e-05
125,55.0,3.207909357894737e-05
126,56.0,3.367957978947369e-05
127,57.0,3.662622294736842e-05
128,58.0,3.834247536842106e-05
129,59.0,4.080953957894737e-05
130,60.0,4.272356968421052e-05
