,angle,pm_value
0,-60.0,7.3347951837769335e-09
1,-59.0,6.330267604562738e-09
2,-58.0,5.967758326996199e-09
3,-57.0,6.329250950570343e-09
4,-56.0,7.388761153358683e-09
5,-55.0,8.566297591888468e-09
6,-54.0,8.583163751584284e-09
7,-53.0,8.186938846641318e-09
8,-52.0,8.46479885931559e-09
9,-51.0,9.228239923954373e-09
10,-50.0,8.422984347275032e-09
11,-49.0,7.187121166032954e-09
12,-48.0,6.885315335868188e-09
13,-47.0,7.037056844106464e-09
14,-46.0,7.63932205323194e-09
15,-45.0,9.9110974017744e-09
16,-44.0,1.3802515335868188e-08
17,-43.0,1.4855953738910013e-08
18,-42.0,1.4266176806083652e-08
19,-41.0,1.482326267427123e-08
20,-40.0,1.5983924144486693e-08
21,-39.0,2.8966833840304184e-08
22,-38.0,3.39953174904943e-08
23,-37.0,3.7608857731305456e-08
24,-36.0,4.2660995120405584e-08
25,-35.0,4.1976132446134345e-08
26,-34.0,5.04606566539924e-08
27,-33.0,3.962001831432193e-08
28,-32.0,4.203681831432193e-08
29,-31.0,5.138465697084918e-08
30,-30.0,4.5287875665399243e-08
31,-29.0,2.9728610076045628e-08
32,-28.0,1.5467983523447404e-08
33,-27.0,7.023565969581749e-09
34,-26.0,2.8741956083650196e-09
35,-25.0,1.5260322813688213e-09
36,-24.0,1.0013355956907478e-09
37,-23.0,8.603816730038024e-10
38,-22.0,8.728546451204056e-10
39,-21.0,8.418358555133081e-10
40,-20.0,8.269935804816224e-10
41,-19.0,8.46888536121673e-10
42,-18.0,8.391335107731307e-10
43,-17.0,8.721820278833968e-10
44,-16.0,7.949636375158429e-10
45,-15.0,8.226114258555134e-10
46,-14.0,7.180753738910013e-10
47,-13.0,7.312288212927756e-10
48,-12.0,8.310431368821293e-10
49,-11.0,7.760767490494298e-10
50,-10.0,7.649452788339671e-10
51,-9.0,8.226112040557668e-10
52,-8.0,7.514585741444868e-10
53,-7.0,7.086342078580483e-10
54,-6.0,7.568608428390368e-10
55,-5.0,7.703473257287706e-10
56,-4.5,8.64090937896071e-10
57,-4.0,7.963079911280102e-10
58,-3.5,7.437072877059569e-10
59,-3.0,7.2077463878327e-10
60,-2.5,8.893779974651458e-10
61,-2.0,8.162025665399241e-10
62,-1.5,7.848440874524716e-10
63,-1.0,8.000181875792143e-10
64,-0.5,8.21600544993663e-10
65,0.0,9.116308808618505e-10
66,0.5,1.278857382762991e-09
67,1.0,1.4515093092522183e-09
68,1.5,1.4606123193916351e-09
69,2.0,1.184776451204056e-09
70,2.5,9.504141001267428e-10
71,3.0,9.53790430925222e-10
72,3.5,8.927506463878328e-10
73,4.0,1.0701279340937896e-09
74,4.5,9.166947211660331e-10
75,5.0,8.18227401774398e-10
76,6.0,9.979671799746515e-10
77,7.0,9.56823339670469e-10
78,8.0,7.713565589353613e-10
79,9.0,6.948101267427124e-10
80,10.0,7.507867807351078e-10
81,11.0,7.025665779467681e-10
82,12.0,7.2145082382763e-10
83,13.0,6.823312167300381e-10
84,14.0,6.934612610899874e-10
85,15.0,7.517998605830166e-10
86,16.0,7.915857604562738e-10
87,17.0,7.433667173637517e-10
88,18.0,7.90242122940431e-10
89,19.0,8.971355513307986e-10
90,20.0,8.151915209125475e-10
91,21.0,8.354269391634982e-10
92,22.0,8.438527186311787e-10
93,23.0,8.809512294043093e-10
94,24.0,9.433306463878328e-10
95,25.0,8.991562040557669e-10
96,26.0,1.0512424271229406e-09
97,27.0,1.0131347972116605e-09
98,28.0,1.0687747845373893e-09
99,29.0,1.166563390367554e-09
100,30.0,1.5766139860583018e-09
101,31.0,3.589080430925222e-09
102,32.0,8.790207477820027e-09
103,33.0,9.993042332065907e-09
104,34.0,1.3337503865652725e-08
105,35.0,2.52143556400507e-08
106,36.0,3.396597186311787e-08
107,37.0,2.3411977566539926e-08
108,38.0,2.1784911596958177e-08
109,39.0,2.250724778200254e-08
110,40.0,2.6530504689480354e-08
111,41.0,2.8618154879594427e-08
112,42.0,1.968952040557668e-08
113,43.0,1.7214053738910014e-08
114,44.0,1.44735582382763e-08
115,45.0,1.0634419518377694e-08
116,46.0,9.723603929024081e-09
117,47.0,9.346950380228137e-09
118,48.0,1.0240204182509507e-08
119,49.0,1.0566978580481624e-08
120,50.0,8.951399176172371e-09
121,51.0,7.144956210392903e-09
122,52.0,6.185937731305451e-09
123,53.0,5.9094294043092526e-09
124,54.0,6.060167858048163e-09
125,55.0,6.8866617870722445e-09
126,56.0,7.611319328263625e-09
127,57.0,7.67639721166033e-09
128,58.0,7.52398865652725e-09
129,59.0,7.634257287705957e-09
130,60.0,7.852434917617238e-09
