,angle,pm_value
0,-60.0,3.575398315789474e-05
1,-59.0,6.528860073684211e-05
2,-58.0,0.00011668508842105262
3,-57.0,0.00014949024842105262
4,-56.0,0.00014729740842105263
5,-55.0,0.00012397153263157896
6,-54.0,0.00010228807178947368
7,-53.0,7.372749989473683e-05
8,-52.0,4.8568756e-05
9,-51.0,3.307629536842105e-05
10,-50.0,2.7834640315789474e-05
11,-49.0,2.4258701263157895e-05
12,-48.0,2.0468914947368423e-05
13,-47.0,1.8085694842105264e-05
14,-46.0,1.712630694736842e-05
15,-45.0,1.6524196736842105e-05
16,-44.0,1.638795957894737e-05
17,-43.0,1.6438280947368418e-05
18,-42.0,1.5974161894736844e-05
19,-41.0,1.5052141052631578e-05
20,-40.0,1.4012239368421054e-05
21,-39.0,1.3019983263157894e-05
22,-38.0,1.235222452631579e-05
23,-37.0,1.2079533157894738e-05
24,-36.0,1.2072555789473684e-05
25,-35.0,1.2363920421052631e-05
26,-34.0,1.2824662526315789e-05
27,-33.0,1.3328030631578947e-05
28,-32.0,1.3752812736842105e-05
29,-31.0,1.406880042105263e-05
30,-30.0,1.4147640736842105e-05
31,-29.0,1.4169679684210526e-05
32,-28.0,1.4204116736842105e-05
33,-27.0,1.4103929263157895e-05
34,-26.0,1.3766075578947369e-05
35,-25.0,1.3094770631578946e-05
36,-24.0,1.5874033368421054e-05
37,-23.0,1.1203427473684211e-05
38,-22.0,1.0581366842105264e-05
39,-21.0,1.0185492684210525e-05
40,-20.0,9.983103e-06
41,-19.0,9.95514127368421e-06
42,-18.0,1.1665375578947369e-05
43,-17.0,9.744025936842104e-06
44,-16.0,9.733508968421052e-06
45,-15.0,1.0001763157894738e-05
46,-14.0,9.385649684210526e-06
47,-13.0,9.787300789473684e-06
48,-12.0,9.651286084210527e-06
49,-11.0,9.597479305263158e-06
50,-10.0,9.614456599999998e-06
51,-9.0,9.761395905263158e-06
52,-8.0,1.149154694736842e-05
53,-7.0,9.59506252631579e-06
54,-6.0,9.839000252631578e-06
55,-5.0,1.0058354147368421e-05
56,-4.5,1.0037268789473684e-05
57,-4.0,1.0395441231578948e-05
58,-3.5,1.0368049810526316e-05
59,-3.0,1.0550293789473684e-05
60,-2.5,1.1016756631578947e-05
61,-2.0,1.0252784821052631e-05
62,-1.5,1.1963842736842105e-05
63,-1.0,1.1315553894736842e-05
64,-0.5,1.0864151684210527e-05
65,0.0,1.0651775157894736e-05
66,0.5,1.059543747368421e-05
67,1.0,1.0898756e-05
68,1.5,1.0487805242105262e-05
69,2.0,1.0309812421052631e-05
70,2.5,1.037755612631579e-05
71,3.0,1.0235356894736843e-05
72,3.5,1.0110019957894737e-05
73,4.0,9.994549284210528e-06
74,4.5,9.836763915789474e-06
75,5.0,9.735706042105263e-06
76,6.0,9.531790557894737e-06
77,7.0,9.377754242105263e-06
78,8.0,9.21116189473684e-06
79,9.0,9.154630736842105e-06
80,10.0,9.125397515789474e-06
81,11.0,9.066099915789473e-06
82,12.0,9.06457692631579e-06
83,13.0,9.132868494736843e-06
84,14.0,9.264156221052633e-06
85,15.0,9.396994063157894e-06
86,16.0,1.1416895052631578e-05
87,17.0,9.96458307368421e-06
88,18.0,1.0144328884210526e-05
89,19.0,1.0395936747368421e-05
90,20.0,1.0699543263157894e-05
91,21.0,1.1032808315789474e-05
92,22.0,1.331926852631579e-05
93,23.0,1.1690536210526317e-05
94,24.0,1.1974716000000001e-05
95,25.0,1.229476494736842e-05
96,26.0,1.2714973368421053e-05
97,27.0,1.3231838105263158e-05
98,28.0,1.3668731157894737e-05
99,29.0,1.4157868842105263e-05
100,30.0,1.4749330210526315e-05
101,31.0,1.5432306631578947e-05
102,32.0,1.601752747368421e-05
103,33.0,1.6521833263157895e-05
104,34.0,1.7232794842105264e-05
105,35.0,1.8077106631578946e-05
106,36.0,1.8909608421052632e-05
107,37.0,1.9754135157894734e-05
108,38.0,2.0544786e-05
109,39.0,2.1343155578947368e-05
110,40.0,2.213128768421053e-05
111,41.0,2.280936052631579e-05
112,42.0,2.3678735684210528e-05
113,43.0,2.4311958315789474e-05
114,44.0,2.5820578842105263e-05
115,45.0,2.5579506736842104e-05
116,46.0,2.5975176210526315e-05
117,47.0,2.6309301368421055e-05
118,48.0,2.6594515157894736e-05
119,49.0,2.6965061263157894e-05
120,50.0,2.779206757894737e-05
121,51.0,2.8832762105263158e-05
122,52.0,3.0133868736842105e-05
123,53.0,3.157460073684211e-05
124,54.0,3.314806389473685e-05
125,55.0,3.664225505263158e-05
126,56.0,3.7799272947368424e-05
127,57.0,3.9889323157894735e-05
128,58.0,4.2613805789473686e-05
129,59.0,4.284597747368421e-05
130,60.0,4.569244536842105e-05
