,angle,pm_value
0,-60.0,1.98326674015748e-06
1,-59.5,1.999686850393701e-06
2,-59.0,2.0092470078740157e-06
3,-58.5,2.0331609763779526e-06
4,-58.0,2.032617007874016e-06
5,-57.5,2.0762642047244094e-06
6,-57.0,2.0893695118110238e-06
7,-56.5,2.1221100157480313e-06
8,-56.0,2.1452577637795276e-06
9,-55.5,2.1770883937007872e-06
10,-55.0,2.20743137007874e-06
11,-54.5,2.2298709448818897e-06
12,-54.0,2.2601483307086616e-06
13,-53.5,2.288230283464567e-06
14,-53.0,2.3300316062992125e-06
15,-52.5,2.358747874015748e-06
16,-52.0,2.394740503937008e-06
17,-51.5,2.4116329606299215e-06
18,-51.0,2.4674214803149606e-06
19,-50.5,2.5069072283464564e-06
20,-50.0,2.575180598425197e-06
21,-49.5,2.6171440157480317e-06
22,-49.0,2.6689422992125987e-06
23,-48.5,2.719227748031496e-06
24,-48.0,2.8059013700787404e-06
25,-47.5,2.866720472440945e-06
26,-47.0,2.954054850393701e-06
27,-46.5,3.0262801259842522e-06
28,-46.0,3.0991784409448822e-06
29,-45.5,3.189861606299213e-06
30,-45.0,3.3046861417322836e-06
31,-44.5,3.4253304251968502e-06
32,-44.0,3.5649011653543307e-06
33,-43.5,3.6966531338582682e-06
34,-43.0,3.876451212598425e-06
35,-42.5,4.087943700787402e-06
36,-42.0,4.346631055118111e-06
37,-41.5,4.571924566929134e-06
38,-41.0,4.754867511811024e-06
39,-40.5,5.004361433070867e-06
40,-40.0,5.379632062992127e-06
41,-39.5,6.202017590551181e-06
42,-39.0,6.243652598425197e-06
43,-38.5,6.711237275590551e-06
44,-38.0,7.394038629921259e-06
45,-37.5,8.261591732283465e-06
46,-37.0,9.196870173228347e-06
47,-36.5,9.94174051968504e-06
48,-36.0,1.057889705511811e-05
49,-35.5,1.1630001244094489e-05
50,-35.0,1.3201991448818898e-05
51,-34.5,1.5042884598425199e-05
52,-34.0,1.682640503937008e-05
53,-33.5,1.9181567716535432e-05
54,-33.0,2.28740737007874e-05
55,-32.5,2.6987415748031495e-05
56,-32.0,3.0186565511811026e-05
57,-31.5,3.2350502677165355e-05
58,-31.0,3.5909760157480315e-05
59,-30.5,4.2368367559055124e-05
60,-30.0,4.874394330708662e-05
61,-29.5,5.347011102362205e-05
62,-29.0,5.9340201102362205e-05
63,-28.5,6.776597133858269e-05
64,-28.0,7.317234440944882e-05
65,-27.5,7.231426393700787e-05
66,-27.0,7.005623291338584e-05
67,-26.5,7.224252488188977e-05
68,-26.0,7.737557511811025e-05
69,-25.5,8.049242062992126e-05
70,-25.0,8.235339354330709e-05
71,-24.5,8.66786137007874e-05
72,-24.0,9.015375181102362e-05
73,-23.5,9.057222677165354e-05
74,-23.0,9.338399779527559e-05
75,-22.5,0.00010381144393700788
76,-22.0,0.0001197485303937008
