,angle,pm_value
0,-60.0,1.392094105818509e-05
1,-59.0,1.2126173641500259e-05
2,-58.0,1.1260207438704737e-05
3,-57.0,1.1139979135299476e-05
4,-56.0,1.236173153709013e-05
5,-55.0,1.608463171341705e-05
6,-54.0,1.9054585595124323e-05
7,-53.0,1.784214440923495e-05
8,-52.0,1.7349415075532755e-05
9,-51.0,1.9008756332120558e-05
10,-50.0,2.2028384272812118e-05
11,-49.0,2.2794546697013898e-05
12,-48.0,2.3698777143447958e-05
13,-47.0,2.763336535720872e-05
14,-46.0,3.2078873773955025e-05
15,-45.0,3.782519748615372e-05
16,-44.0,4.7815530020287366e-05
17,-43.0,6.239666701037841e-05
18,-42.0,7.307918319556918e-05
19,-41.0,7.932899102437279e-05
20,-40.0,9.644806677788396e-05
21,-39.0,9.804120276757819e-05
22,-38.0,0.00011188798047828841
23,-37.0,0.00012341631698881443
24,-36.0,0.00016209906169480258
25,-35.0,0.0001976872818714929
26,-34.0,0.0001916898227285189
27,-33.0,0.00016988286217433217
28,-32.0,0.00020741401011847044
29,-31.0,0.00021846588950082035
30,-30.0,0.0002188029916195248
31,-29.0,0.000140940886399039
32,-28.0,9.82563394781773e-05
33,-27.0,3.693151934286784e-05
34,-26.0,8.76789211866159e-06
35,-25.0,2.877522639147371e-06
36,-24.0,1.512104078992226e-06
37,-23.0,1.0248505377272546e-06
38,-22.0,8.014630252502388e-07
39,-21.0,8.245698060962728e-07
40,-20.0,6.856385034287343e-07
41,-19.0,6.249476601612929e-07
42,-18.0,4.801042014709745e-07
43,-17.0,4.266258378183525e-07
44,-16.0,3.146481878007478e-07
45,-15.0,2.6374860908516784e-07
46,-14.0,2.338311027837857e-07
47,-13.0,2.1372755824936145e-07
48,-12.0,2.0156655716233813e-07
49,-11.0,1.935946209837422e-07
50,-10.0,1.9189988329728555e-07
51,-9.0,1.9172686886977515e-07
52,-8.0,1.8327558309441172e-07
53,-7.0,1.7524292827043126e-07
54,-6.0,1.65982486776878e-07
55,-5.0,1.5951440345332503e-07
56,-4.5,1.569593060962728e-07
57,-4.0,1.5600418613248833e-07
58,-3.5,1.528492164098609e-07
59,-3.0,1.5395878482247145e-07
60,-2.5,1.4341358470119435e-07
61,-2.0,1.3660236916598204e-07
62,-1.5,1.4366668161114183e-07
63,-1.0,2.652498862956816e-07
64,-0.5,1.931468280770585e-07
65,0.0,2.3106315490501816e-07
66,0.5,2.404464619485941e-07
67,1.0,1.2073996997691825e-07
68,1.5,1.2241776407401823e-07
69,2.0,1.1698633789659584e-07
70,2.5,1.2404953009294187e-07
71,3.0,1.2627128036819073e-07
72,3.5,1.3406927530472984e-07
73,4.0,1.0986013529947634e-07
74,4.5,1.1007901057961538e-07
75,5.0,1.109137617798121e-07
76,6.0,1.1254895255939509e-07
77,7.0,1.1556776914306792e-07
78,8.0,1.192837288561385e-07
79,9.0,1.2492185068099635e-07
80,10.0,1.3208351089258866e-07
81,11.0,1.4178443236423383e-07
82,12.0,1.5259732973972915e-07
83,13.0,1.648278688222703e-07
84,14.0,1.7932377876699695e-07
85,15.0,1.9661224008405572e-07
86,16.0,2.2111198190902537e-07
87,17.0,2.4040145253145106e-07
88,18.0,2.7938806646770506e-07
89,19.0,2.9823468719436203e-07
90,20.0,3.3888621816474693e-07
91,21.0,3.6477915290422457e-07
92,22.0,4.564899896607035e-07
93,23.0,6.266366544271749e-07
94,24.0,1.1048706851600353e-06
95,25.0,3.0431688214319646e-06
96,26.0,1.0415468304187695e-05
97,27.0,3.976696487992444e-05
98,28.0,6.043250646904638e-05
99,29.0,9.358993794186521e-05
100,30.0,0.00010092425586401536
101,31.0,9.380351233450137e-05
102,32.0,7.49218927619335e-05
103,33.0,7.906147444796539e-05
104,34.0,8.325702868176762e-05
105,35.0,8.032010576541532e-05
106,36.0,5.693451145705838e-05
107,37.0,4.8962097259248076e-05
108,38.0,4.4070229529589945e-05
109,39.0,4.291744247438928e-05
110,40.0,3.642792296944597e-05
111,41.0,3.440807330561284e-05
112,42.0,3.0902705061784276e-05
113,43.0,2.6619907334752887e-05
114,44.0,2.18863710496901e-05
115,45.0,1.808777241391837e-05
116,46.0,1.622741289841222e-05
117,47.0,1.4766617908220578e-05
118,48.0,1.4011792077304403e-05
119,49.0,1.440554079495219e-05
120,50.0,1.424379936399354e-05
121,51.0,1.2653813407273275e-05
122,52.0,1.266701967959358e-05
123,53.0,1.4418927513147671e-05
124,54.0,1.4556777887038992e-05
125,55.0,1.1602140520262225e-05
126,56.0,9.678676554108053e-06
127,57.0,9.426591671836313e-06
128,58.0,1.0043552284984545e-05
129,59.0,1.1317923724494075e-05
130,60.0,1.3538664059487281e-05
