,angle,pm_value
0,-60.0,4.368729149606299e-05
1,-59.5,4.121156818897638e-05
2,-59.0,3.522774645669291e-05
3,-58.5,2.89493662992126e-05
4,-58.0,2.4116523149606298e-05
5,-57.5,2.1448841417322836e-05
6,-57.0,2.0380585669291342e-05
7,-56.5,2.0661069921259843e-05
8,-56.0,2.187624566929134e-05
9,-55.5,2.414083385826772e-05
10,-55.0,2.7344502047244094e-05
11,-54.5,3.18296537007874e-05
12,-54.0,3.703402e-05
13,-53.5,4.1840788976377956e-05
14,-53.0,4.4693343937007876e-05
15,-52.5,4.5311348346456695e-05
16,-52.0,4.370809527559055e-05
17,-51.5,4.1318165196850394e-05
18,-51.0,3.8616133543307086e-05
19,-50.5,3.699471527559055e-05
20,-50.0,3.5967467401574804e-05
21,-49.5,3.575403606299213e-05
22,-49.0,3.601150755905512e-05
23,-48.5,3.6816891653543305e-05
24,-48.0,3.85168588976378e-05
25,-47.5,4.177806440944882e-05
26,-47.0,4.638698692913386e-05
27,-46.5,5.2701243464566937e-05
28,-46.0,6.0229612598425196e-05
29,-45.5,6.719517826771654e-05
30,-45.0,7.568325244094488e-05
31,-44.5,8.57157937007874e-05
32,-44.0,9.886390913385826e-05
33,-43.5,0.00011711250866141733
34,-43.0,0.00013755451196850396
35,-42.5,0.00015965407874015747
36,-42.0,0.00018106345826771655
37,-41.5,0.00020325593543307088
38,-41.0,0.00023061072440944884
39,-40.5,0.00026816069921259845
40,-40.0,0.00032665809133858265
41,-39.5,0.0004176837590551181
42,-39.0,0.0005544838283464567
43,-38.5,0.0007249350236220473
44,-38.0,0.0009029977590551181
45,-37.5,0.0010507536944881892
46,-37.0,0.001176611148031496
47,-36.5,0.0013523567480314962
48,-36.0,0.001681500724409449
49,-35.5,0.002322455590551181
50,-35.0,0.00337023474015748
51,-34.5,0.004698632960629921
52,-34.0,0.005702800472440945
53,-33.5,0.005792112566929134
54,-33.0,0.005422912141732284
55,-32.5,0.005228015590551182
56,-32.0,0.00535249462992126
57,-31.5,0.005642881527559055
58,-31.0,0.005948508992125985
59,-30.5,0.006138166283464567
60,-30.0,0.006168814677165355
61,-29.5,0.006000572771653543
62,-29.0,0.005588570803149606
63,-28.5,0.005028090047244095
64,-28.0,0.004587558015748032
65,-27.5,0.004285325622047244
66,-27.0,0.0037110801259842524
67,-26.5,0.0027028638582677167
68,-26.0,0.001615068094488189
69,-25.5,0.0009039215039370079
70,-25.0,0.0005501374472440945
71,-24.5,0.0003520490708661418
72,-24.0,0.00022750254488188975
73,-23.5,0.0001482476096062992
74,-23.0,0.00010388850031496064
75,-22.5,7.69945272440945e-05
76,-22.0,5.9739080787401574e-05
77,-21.5,4.8210335748031496e-05
78,-21.0,3.935152173228347e-05
79,-20.5,3.227057291338583e-05
80,-20.0,2.6070202362204728e-05
81,-19.5,2.0928551811023623e-05
82,-19.0,1.671603937007874e-05
83,-18.5,1.3108856645669291e-05
84,-18.0,1.0278337480314962e-05
85,-17.5,8.050587385826772e-06
86,-17.0,6.410673779527559e-06
87,-16.5,5.228428015748031e-06
88,-16.0,4.420537291338583e-06
89,-15.5,3.886079622047244e-06
90,-15.0,3.5064640629921264e-06
91,-14.5,3.2137621417322835e-06
92,-14.0,2.969603984251969e-06
93,-13.5,2.776402094488189e-06
94,-13.0,2.6278969921259847e-06
95,-12.5,2.462417181102362e-06
96,-12.0,2.318169590551181e-06
97,-11.5,2.2049907716535432e-06
98,-11.0,2.127696866141732e-06
99,-10.5,2.040989527559055e-06
100,-10.0,1.984691039370079e-06
101,-9.5,1.9168858267716536e-06
102,-9.0,1.8774084724409449e-06
103,-8.5,1.8224832283464567e-06
104,-8.0,1.780474346456693e-06
105,-7.5,1.7490228976377953e-06
106,-7.0,1.7179200157480315e-06
107,-6.5,1.6848127716535433e-06
108,-6.0,1.6551853858267718e-06
109,-5.5,1.6369163307086615e-06
110,-5.0,1.6143633070866143e-06
111,-4.75,1.6008491496062993e-06
112,-4.5,1.6003758267716535e-06
113,-4.25,1.594902125984252e-06
114,-4.0,1.5841579685039372e-06
115,-3.75,1.5754774488188978e-06
116,-3.5,1.570480159055118e-06
117,-3.25,1.5686251952755906e-06
118,-3.0,1.5539039527559055e-06
119,-2.75,1.5604507370078743e-06
120,-2.5,1.5465959921259843e-06
121,-2.25,1.565240325984252e-06
122,-2.0,1.5600867921259841e-06
123,-1.75,1.5600288866141733e-06
124,-1.5,1.56515388503937e-06
125,-1.25,1.5859820157480315e-06
126,-1.0,1.5972774173228346e-06
127,-0.75,1.592875968503937e-06
128,-0.5,1.5717339590551183e-06
129,-0.25,1.5534580440944883e-06
130,0.0,1.5518026755905511e-06
131,0.25,1.5311437858267719e-06
132,0.5,1.534773007874016e-06
133,0.75,1.543307074015748e-06
134,1.0,1.5408838157480315e-06
135,1.25,1.5504400566929134e-06
136,1.5,1.5594031055118112e-06
137,1.75,1.5595667543307087e-06
138,2.0,1.5746073212598425e-06
