,angle,pm_value
0,-60.0,1.5658643443708608e-08
1,-59.0,1.5253389050772627e-08
2,-58.0,1.5461315386313466e-08
3,-57.0,1.4561507814569536e-08
4,-56.0,1.4513365982339955e-08
5,-55.0,1.3826204105960265e-08
6,-54.0,1.348671298013245e-08
7,-53.0,1.3240055982339955e-08
8,-52.0,1.2568147395143488e-08
9,-51.0,1.1747042671081678e-08
10,-50.0,1.1898591633554084e-08
11,-49.0,1.1943221898454745e-08
12,-48.0,1.2382552671081677e-08
13,-47.0,1.307793554083885e-08
14,-46.0,1.3162514988962472e-08
15,-45.0,1.2885299271523178e-08
16,-44.0,1.3889619161147902e-08
17,-43.0,1.5134750816777042e-08
18,-42.0,1.597110046357616e-08
19,-41.0,1.7995037947019868e-08
20,-40.0,1.9415182913907284e-08
21,-39.0,2.1174826666666665e-08
22,-38.0,2.2779376158940398e-08
23,-37.0,2.204876732891832e-08
24,-36.0,2.959002626931567e-08
25,-35.0,3.787841390728476e-08
26,-34.0,4.31584710816777e-08
27,-33.0,4.9316024061810155e-08
28,-32.0,3.871829580573951e-08
29,-31.0,1.6607767704194258e-08
30,-30.0,1.7578030331125825e-08
31,-29.0,1.0355097483443707e-08
32,-28.0,7.195278366445916e-09
33,-27.0,6.539824790286975e-09
34,-26.0,5.2782733774834436e-09
35,-25.0,2.6799151434878586e-09
36,-24.0,5.605997858719647e-09
37,-23.0,4.211652406181015e-09
38,-22.0,2.7515672626931566e-09
39,-21.0,4.342061103752759e-09
40,-20.0,3.310718984547461e-09
41,-19.0,3.585577306843267e-09
42,-18.0,4.329137615894039e-09
43,-17.0,5.845592671081677e-09
44,-16.0,5.301742693156732e-09
45,-15.0,3.989663708609272e-09
46,-14.0,3.963822075055188e-09
47,-13.0,3.261370883002207e-09
48,-12.0,2.3345594481236203e-09
49,-11.0,2.02094212803532e-09
50,-10.0,2.977108498896247e-09
51,-9.0,3.342432251655629e-09
52,-8.0,6.154546534216335e-09
53,-7.0,2.872559426048565e-09
54,-6.0,3.2273071302428254e-09
55,-5.0,4.356149139072848e-09
56,-4.5,4.891775452538631e-09
57,-4.0,5.359290706401765e-09
58,-3.5,5.418034635761589e-09
59,-3.0,3.726539094922737e-09
60,-2.5,4.968149227373068e-09
61,-2.0,6.6408446578366444e-09
62,-1.5,4.201108123620308e-09
63,-1.0,7.394969933774834e-09
64,-0.5,4.716786269315673e-09
65,0.0,5.578968741721853e-09
66,0.5,3.5538598233995585e-09
67,1.0,4.0401686754966886e-09
68,1.5,4.6803494260485644e-09
69,2.0,4.941122781456954e-09
70,2.5,3.2590318763796908e-09
71,3.0,4.215193841059603e-09
72,3.5,3.375320022075055e-09
73,4.0,4.471268145695364e-09
74,4.5,5.436818300220751e-09
75,5.0,4.600474790286975e-09
76,6.0,2.921910971302428e-09
77,7.0,2.783296799116998e-09
78,8.0,1.9821812052980135e-09
79,9.0,1.3666579470198677e-09
80,10.0,3.612601081677704e-09
81,11.0,1.1963306004415012e-09
82,12.0,2.8690478587196465e-09
83,13.0,2.1947792251655626e-09
84,14.0,3.5538686313465782e-09
85,15.0,5.035102295805739e-09
86,16.0,4.024896225165563e-09
87,17.0,4.143526026490066e-09
88,18.0,3.6971648344370856e-09
89,19.0,4.40076944812362e-09
90,20.0,2.755075562913907e-09
91,21.0,3.632556909492274e-09
92,22.0,3.4563587858719643e-09
93,23.0,4.53821238410596e-09
94,24.0,4.289174260485651e-09
95,25.0,5.8925925607064015e-09
96,26.0,5.1231718543046355e-09
97,27.0,5.8432551876379694e-09
98,28.0,1.120670196467991e-08
99,29.0,1.5743235143487857e-08
100,30.0,1.5208747306843266e-08
101,31.0,3.2869647682119205e-08
102,32.0,3.559840066225165e-08
103,33.0,2.7302994260485654e-08
104,34.0,2.25221178807947e-08
105,35.0,1.5955842538631348e-08
106,36.0,1.400473587196468e-08
107,37.0,1.5159426026490066e-08
108,38.0,1.3450299867549667e-08
109,39.0,1.2379027306843267e-08
110,40.0,1.1071634017660044e-08
111,41.0,1.0281089514348784e-08
112,42.0,1.0558319757174392e-08
113,43.0,9.396585783664458e-09
114,44.0,9.329630816777042e-09
115,45.0,9.528135275938189e-09
116,46.0,1.2100619889624723e-08
117,47.0,9.546936158940398e-09
118,48.0,1.0183604944812361e-08
119,49.0,9.091171832229579e-09
120,50.0,8.997202671081678e-09
121,51.0,1.0302246997792494e-08
122,52.0,9.844128366445915e-09
123,53.0,9.889943443708609e-09
124,54.0,9.689082384105961e-09
125,55.0,9.498786666666666e-09
126,56.0,1.0086099690949227e-08
127,57.0,1.0383297262693157e-08
128,58.0,9.713733841059603e-09
129,59.0,9.815930883002207e-09
130,60.0,1.0804992847682119e-08
